1,49167,443,tcp,0,MALICIOUS
2,49167,443,tcp,0,MALICIOUS
3,49167,443,tcp,0,MALICIOUS
,54611,53,udp,66,MALICIOUS
,51325,53,udp,251,MALICIOUS
,63130,53,udp,258,MALICIOUS
,54789,53,udp,278,MALICIOUS
,64433,53,udp,26,MALICIOUS
,53264,53,udp,111,MALICIOUS
,64388,53,udp,158,MALICIOUS
,58012,53,udp,28,MALICIOUS
,58121,53,udp,26,MALICIOUS
,51797,53,udp,50,MALICIOUS
,52300,53,udp,172,MALICIOUS
,55838,53,udp,167,MALICIOUS
,51293,53,udp,129,MALICIOUS
,137,137,udp,211,MALICIOUS
,134,133,icmp,0,MALICIOUS
,547,546,udp,0,MALICIOUS
,135,136,icmp,24,MALICIOUS
,135,136,icmp,24,MALICIOUS
,62975,3544,udp,109,MALICIOUS
,135,136,icmp,16,MALICIOUS
,55176,53,udp,29,MALICIOUS
,135,136,icmp,24,MALICIOUS
,135,136,icmp,24,MALICIOUS
,49347,445,tcp,0,MALICIOUS
,49348,445,tcp,341,MALICIOUS
,49401,445,tcp,409,MALICIOUS
,49529,445,tcp,328,MALICIOUS
,49548,445,tcp,252,MALICIOUS
,49532,445,tcp,0,MALICIOUS
,49533,445,tcp,0,MALICIOUS
,49536,445,tcp,0,MALICIOUS
,49537,445,tcp,0,MALICIOUS
,49535,445,tcp,0,MALICIOUS
,49540,445,tcp,0,MALICIOUS
,49541,445,tcp,0,MALICIOUS
,49542,445,tcp,0,MALICIOUS
,49543,445,tcp,0,MALICIOUS
,49544,445,tcp,0,MALICIOUS
,49546,445,tcp,0,MALICIOUS
,49547,445,tcp,0,MALICIOUS
,49539,445,tcp,0,MALICIOUS
,49550,445,tcp,0,MALICIOUS
,49552,445,tcp,0,MALICIOUS
,49553,445,tcp,0,MALICIOUS
,49554,445,tcp,0,MALICIOUS
,49551,445,tcp,0,MALICIOUS
,49484,445,tcp,728,MALICIOUS
,49777,445,tcp,409,MALICIOUS
,49180,445,tcp,0,MALICIOUS
,49835,445,tcp,409,MALICIOUS
,49836,445,tcp,50641,MALICIOUS
,49180,445,tcp,0,MALICIOUS
,62458,53,udp,26,MALICIOUS
,49329,445,tcp,0,MALICIOUS
,49329,445,tcp,0,MALICIOUS
,55114,53,udp,443,MALICIOUS
,59816,53,udp,487,MALICIOUS
,49218,443,tcp,3065,MALICIOUS
,49370,445,tcp,0,MALICIOUS
,49308,443,tcp,2687,MALICIOUS
,49288,80,tcp,241,MALICIOUS
,49422,445,tcp,0,MALICIOUS
,49329,445,tcp,0,MALICIOUS
,55914,53,udp,193,MALICIOUS
,56467,53,udp,219,MALICIOUS
,49370,445,tcp,0,MALICIOUS
,49519,445,tcp,0,MALICIOUS
,49422,445,tcp,0,MALICIOUS
,49524,445,tcp,0,MALICIOUS
,49461,445,tcp,0,MALICIOUS
,49588,445,tcp,0,MALICIOUS
,49607,445,tcp,0,MALICIOUS
,49519,445,tcp,0,MALICIOUS
,49524,445,tcp,0,MALICIOUS
,49624,445,tcp,0,MALICIOUS
,49561,445,tcp,0,MALICIOUS
,49588,445,tcp,0,MALICIOUS
,49607,445,tcp,0,MALICIOUS
,49686,445,tcp,0,MALICIOUS
,49624,445,tcp,0,MALICIOUS
,49703,445,tcp,0,MALICIOUS
,49745,445,tcp,0,MALICIOUS
,49686,445,tcp,0,MALICIOUS
,49703,445,tcp,0,MALICIOUS
,49813,445,tcp,0,MALICIOUS
,49745,445,tcp,0,MALICIOUS
,49756,443,tcp,3065,MALICIOUS
,49779,443,tcp,2687,MALICIOUS
,49813,445,tcp,0,MALICIOUS
,49954,445,tcp,0,MALICIOUS
,49991,445,tcp,0,MALICIOUS
,49954,445,tcp,0,MALICIOUS
,49991,445,tcp,0,MALICIOUS
