1,49167,443,0,1
2,49167,443,0,1
3,49167,443,0,1
,54611,53,66,1
,51325,53,251,1
,63130,53,258,1
,54789,53,278,1
,64433,53,26,1
,53264,53,111,1
,64388,53,158,1
,58012,53,28,1
,58121,53,26,1
,51797,53,50,1
,52300,53,172,1
,55838,53,167,1
,51293,53,129,1
,137,137,211,1
,134,133,0,1
,547,546,0,1
,135,136,24,1
,135,136,24,1
,62975,3544,109,1
,135,136,16,1
,55176,53,29,1
,135,136,24,1
,135,136,24,1
,49347,445,0,1
,49348,445,341,1
,49401,445,409,1
,49529,445,328,1
,49548,445,252,1
,49532,445,0,1
,49533,445,0,1
,49536,445,0,1
,49537,445,0,1
,49535,445,0,1
,49540,445,0,1
,49541,445,0,1
,49542,445,0,1
,49543,445,0,1
,49544,445,0,1
,49546,445,0,1
,49547,445,0,1
,49539,445,0,1
,49550,445,0,1
,49552,445,0,1
,49553,445,0,1
,49554,445,0,1
,49551,445,0,1
,49484,445,728,1
,49777,445,409,1
,49180,445,0,1
,49835,445,409,1
,49836,445,50641,1
,49180,445,0,1
,62458,53,26,1
,49329,445,0,1
,49329,445,0,1
,55114,53,443,1
,59816,53,487,1
,49218,443,3065,1
,49370,445,0,1
,49308,443,2687,1
,49288,80,241,1
,49422,445,0,1
,49329,445,0,1
,55914,53,193,1
,56467,53,219,1
,49370,445,0,1
,49519,445,0,1
,49422,445,0,1
,49524,445,0,1
,49461,445,0,1
,49588,445,0,1
,49607,445,0,1
,49519,445,0,1
,49524,445,0,1
,49624,445,0,1
,49561,445,0,1
,49588,445,0,1
,49607,445,0,1
,49686,445,0,1
,49624,445,0,1
,49703,445,0,1
,49745,445,0,1
,49686,445,0,1
,49703,445,0,1
,49813,445,0,1
,49745,445,0,1
,49756,443,3065,1
,49779,443,2687,1
,49813,445,0,1
,49954,445,0,1
,49991,445,0,1
,49954,445,0,1
,49991,445,0,1
,50116,445,0,1
,50156,445,0,1
,50214,445,0,1
,50116,445,0,1
,50156,445,0,1
,50314,445,0,1
,50214,445,0,1
,135,136,24,1
,50375,445,0,1
,50398,445,0,1
,50432,445,0,1
,50327,445,0,1
,50314,445,0,1
,135,136,24,1
,50375,445,0,1
,61412,139,0,1
,61411,445,0,1
,61413,445,522,1
,50398,445,0,1
,50432,445,0,1
,50600,445,0,1
,50613,445,0,1
,50479,445,0,1
,50670,445,0,1
,53002,53,29,1
,137,137,211,1
,50710,445,0,1
,50755,445,0,1
,50579,445,0,1
,50600,445,0,1
,50613,445,0,1
,50797,445,0,1
,50810,445,0,1
,50814,445,0,1
,50658,443,2816,1
,50812,445,0,1
,50670,445,0,1
,50840,445,0,1
,50710,445,0,1
,50755,445,0,1
,50942,445,0,1
